,January,February,March,April,May,June,July,August,September,October,November,December
2001,28,28,28,28,28,28,28,28,28,28,28,28
2002,28,28,28,28,28,28,28,28,28,28,28,28
2003,28,28,28,28,28,28,28,28,28,28,28,28
2004,28,28,28,28,28,28,28,28,28,28,28,28
2005,28,28,28,28,28,28,28,28,28,28,28,28
2006,28,28,28,28,28,28,28,28,28,28,28,28
2007,28,28,28,28,28,28,28,28,28,28,28,28
2008,28,28,28,28,28,28,28,28,28,28,28,28
2009,28,28,28,28,28,28,28,28,31,30,27,26
2010,27,28,32,34,33,32,31,32,30,30,27,26
2011,26,27,30,31,32,32,31,30,30,28,26,25
2012,26,27,30,32,32,32,32,31,31,28,27,27
2013,26,27,30,33,33,32,31,31,30,29,27,25
2014,25,27,29,32,31,33,31,31,31,29,26,25
2015,26,27,30,31,31,31,32,31,31,28,26,26
2016,26,28,31,33,32,31,31,31,31,30,28,26
